Apps_for_Android games:0.039086495293410954 play:0.027380398163367913 graphics:0.019098439631799843 kindle:0.01865837372754966 addictive:0.016642423000770998 challenging:0.013169372386466819 coins:0.012719491417532104 addicting:0.012569538031656963 fire:0.012129381386432157 levels:0.010470528971236494 playing:0.008790344157624964 ads:0.008149246843292698 puzzles:0.00757045852804179 apps:0.006961664683180242 free:0.0063553829000004515 bingo:0.005191437786831427 mahjong:0.00408490427938715 download:0.0038547352854942808 faotd:0.003664358550262773 facebook:0.0035839228503506335 downloaded:0.0033334207578702936 hints:0.0030776781412221463 solitaire:0.0026848367451549377 android:0.002684051028123991 puzzle:0.002522622666449213 gameplay:0.002518265304355581 freezes:0.002406187713638002 unlock:0.0023563929624107727 played:0.002288453544692754 deleted:0.0022735840737065243 bought:0.002213128685807231 flappy:0.00219850355789423 upgrades:0.002143862885746005 awesome:0.0019689464748420074 tablet:0.0019680348882887924 price:0.001897726836834448 calculator:0.0018896289820825867 developer:0.0018822700426512327 quality:0.0018291993628096886 permissions:0.0017426443964223873 author:0.0017169068939310473 earn:0.0017094307464959762 bored:0.0016647667830220695 uninstall:0.0016147745519425032 sudoku:0.0016110782179102568 fit:0.0015997161396529302 years:0.0015775646578871593 reading:0.0015432291021792832 made:0.0015338842780930693 characters:0.0014981527752711131 gameloft:0.0014656318506725606 series:0.0014595791641121947 written:0.001456831998549028 addicted:0.0013909902175914142 crashes:0.0013612934086534067 brain:0.0013564690270244449 multiplayer:0.0013004678097761992 challenge:0.0012963462525765327 sims:0.0012742605594081413 uninstalling:0.0012726526413596587 tetris:0.001258972902288528 back:0.0012574675802720123 glitches:0.0012562069412767952 end:0.0012082891069824238 waster:0.0011953125558901005 crashing:0.001188497015335292 downloading:0.0011866489733741753 size:0.0011841285161692465 put:0.0011612568523722865 logos:0.0011197111874767425 minecraft:0.0011197111874767425 glu:0.001099209943063817 pou:0.001099209943063817 freecell:0.001099209943063817 apos:0.001099209943063817
Health_and_Personal_Care shaver:0.01612495399289556 razor:0.014342915470503433 shaving:0.013942882327467038 pills:0.01294448699878737 protein:0.01069269074567304 supplements:0.010036849907473822 vitamin:0.009623523370311644 pill:0.0085604925618677 vitamins:0.008275598095403677 capsules:0.007943762653705649 supplement:0.007351432077274022 trimmer:0.006741034136318951 deodorant:0.006385561916685773 taking:0.006141819965192582 stomach:0.005392651164950305 toothbrush:0.005290892137123602 gillette:0.0051828336821560135 sonicare:0.00516360356616924 norelco:0.00516360356616924 razors:0.004754878772305872 garcinia:0.00451803846828566 bottle:0.004473002499060314 smell:0.004197701374319907 appetite:0.0040058514559871 powder:0.003931216278869538 brace:0.003882826479968495 muscle:0.003729926930877841 shaves:0.0036584475566677765 ketones:0.003549752250806811 dentist:0.003474819799396709 energy:0.0033220458771337684 sinus:0.0032760162176435612 dosage:0.0032760162176435612 cambogia:0.003227006558225938 oil:0.003047664409330311 products:0.0030208461406318983 tastes:0.0030188450740241094 sore:0.003003410618439685 beard:0.0029193363028580423 mg:0.0029193363028580423 shavers:0.0029106567894268565 creatine:0.002904269055081568 pain:0.002900944870745339 braun:0.002884782463222476 hairs:0.0028203800873432138 teeth:0.002767556940651497 relief:0.0027112057098122697 whey:0.002644875437399471 jittery:0.002644875437399471 calcium:0.002612919748445784 irritation:0.002589549776582252 doctor:0.0025140215502345094 scent:0.0025101775386856882 results:0.002503179796141083 diet:0.002489600418384739 brush:0.0024523419941436387 stains:0.0023989184933645544 oral:0.0023817947909096073 rash:0.002368686021663292 blades:0.002334228971289768 stubble:0.002272231621181016 odor:0.002248245879799609 cravings:0.002234253510452363 swelling:0.0022331892542124523 oils:0.0022320784024066494 weeks:0.0021813541590473677 swallow:0.0020924711058219014 lather:0.00206228585231601 batteries:0.0020594060754039935 massage:0.0020416093343635865 clean:0.002037324803253674 smells:0.002030666989758118 vibrator:0.002024884374843122 scale:0.0020222008919197616 weight:0.002019286880744787
Home_and_Kitche vacuum:0.01601131299202291 oven:0.015226549939170867 clean:0.014107710171177047 dishwasher:0.014064259111048893 lid:0.014054042578478945 pan:0.01299741807159628 pot:0.011290325475132855 maker:0.010330786118303351 pans:0.010201975880287654 cup:0.009765025566791636 mattress:0.009190066669064526 water:0.008231748018672498 toaster:0.008044970780804923 cups:0.00801858290100972 sheets:0.007967113615587194 comforter:0.007540212397540151 pillow:0.007330121637805912 microwave:0.007145407901560345 mug:0.007113963693895673 counter:0.006916865191391442 cook:0.0068802634332029025 cooking:0.006851730722017448 machine:0.006707640114600645 cooker:0.006609513408290928 cookware:0.006342516765809125 cuisinart:0.0059898545730874666 poster:0.005965209869527773 bed:0.00593778715830666 brew:0.005657408917399427 filter:0.005449880035414432 stainless:0.005328829235542795 brewing:0.00515243857802564 cooks:0.0051282611391009515 pots:0.005040630743672666 grinder:0.005008259765950535 bowl:0.004984650305717705 bread:0.004950575014297245 juicer:0.0048816134634076785 steam:0.004879757452167594 glass:0.004877469865117227 heats:0.00474324282292018 kettle:0.004682032103051716 stove:0.004644880869194962 heat:0.0045287674482044635 rack:0.004526716656316148 espresso:0.004510235617498074 lids:0.004359279963118287 heating:0.004351206167327633 grind:0.004318182038991901 cleaning:0.004208755894066336 steamer:0.004200413466534171 pitcher:0.004129131916096851 blender:0.004002422581825325 carafe:0.003998521106428551 dyson:0.003997316689594745 knives:0.003994285737829467 baking:0.003962761573951556 filters:0.0038531715760376857 coffeemaker:0.0038028097499639753 mugs:0.0038028097499639753 drip:0.0037689864093683138 pillows:0.003746875262291208 heater:0.0036824145474476317 carpet:0.0036700608782710225 suction:0.0036107238339677665 thermometer:0.003524674193487015 temperature:0.003497487425358853 pour:0.003463201843082637 bowls:0.0034585300053166157 handle:0.0034478077393837237 timer:0.0034136752033688354 bottom:0.0034077906264803268 curtain:0.0034016515102503523 dough:0.0033782010261868543 room:0.0033379354657520166
Kindle_Store author:0.013691413002790542 characters:0.012179600457669831 series:0.008391726183568355 reading:0.007879250907334339 romance:0.006447658627071001 enjoyed:0.00595692718601364 kindle:0.005795480211872787 short:0.0057571414598569706 stories:0.005496630169131972 novella:0.0046944420171234095 written:0.004198648030827349 wait:0.003759591727085898 ebook:0.0034729450856813026 plot:0.0030991721173044633 forward:0.0030385912397558833 character:0.0028623724950767935 loved:0.002662013413514729 writing:0.0024849966709310257 sex:0.0024713174890860033 steamy:0.002251632453151303 errors:0.002152149460772929 bought:0.0020840404802632967 erotic:0.00206618521141553 quality:0.0019868055811517187 ending:0.001912848412319967 relationship:0.0019116354446396557 price:0.001815324919549533 interesting:0.0016029162619569054 sexy:0.001600143247935408 developed:0.0015690797794945372 reader:0.0015215138545878859 fit:0.0014939116670415926 alpha:0.0014684188143582987 wanting:0.001461001761724677 heroine:0.0014474714395016823 believable:0.0014316191185601106 finds:0.0014126884916431976 sweet:0.0013904490288045167 mystery:0.0013899533880961528 erotica:0.0013427263479563261 honest:0.0013343106813584961 woman:0.001328915221513443 works:0.0013190674305917477 fiction:0.001271679426906732 buy:0.0012523000215546082 tale:0.001227514187520579 authors:0.0012183849621652905 size:0.0012004754060349417 end:0.0011924060929592766 felt:0.0011836939729525317 music:0.0011823845648188242 twist:0.0011090968923765643 chemistry:0.0010778078242451217 paranormal:0.0010617567038678395 storyline:0.0010609083100376446 hea:0.0010443282661343587 shifter:0.0010400321948851282 feelings:0.001024373720932245 cliffhanger:0.0009975436259223106 scenes:0.0009912598042153336 ms:0.0009777248933679743 editing:0.0009762039678802041 reads:0.0009729529771487982 suspense:0.0009621044251813064 ordered:0.0009509529920900453 adventure:0.0009465579594169026 intriguing:0.0009420905715690023 devlin:0.0009377156448037748 nage:0.0009377156448037748 paced:0.000933789039746775 intrigue:0.000909112180960766 sound:0.0009075872430706413 powerfast:0.000898014557072781 berserker:0.000898014557072781 entertaining:0.0008980090375228881
Movies_and_TV dvd:0.11095844158848947 acting:0.06544290547024788 movies:0.06381783853634496 watch:0.05467752319832941 films:0.04679399440780947 actors:0.045907560443042346 watching:0.04474011675452819 watched:0.038335995354762474 episodes:0.029769225879330067 season:0.027747607501403544 cast:0.02335289604487563 show:0.021735185328405158 director:0.021321248335667484 episode:0.02078710599913292 actor:0.020461143758177442 comedy:0.019321487454141105 scenes:0.017513131238589073 seasons:0.016763932348834512 flick:0.015133353879709915 script:0.014661392684515037 vhs:0.01378410509407285 scene:0.013622422020917499 video:0.013209951505980222 funny:0.011565679151831806 performances:0.011329824336737866 dvds:0.010966198605661542 documentary:0.01093588332385262 extras:0.010846867101421334 blu:0.010728212575487436 subtitles:0.010629970465715613 role:0.010469956373310723 viewer:0.009976972813262807 viewers:0.009739349235605679 effects:0.009467174334794833 cinematography:0.008558060590580377 ray:0.008384009008758894 classic:0.00829745439531259 animation:0.008182633317773356 footage:0.008120023197608541 actress:0.007897640480362955 filmed:0.007826213229769027 special:0.007764229040780174 horror:0.007672664541282348 action:0.0075419543510382315 cinema:0.0070015616942169095 hollywood:0.006916464676328549 tv:0.006905213546801007 production:0.00663379869126137 roles:0.006491790726957669 aired:0.00625268001246455 remake:0.006109066270693323 nudity:0.005858129763272346 viewing:0.005351448465949032 cgi:0.005349437248185355 animated:0.005329063552672691 shows:0.005287117391698615 theatrical:0.005258399535760059 anime:0.005149324419395433 television:0.005064196719130218 performance:0.004874209991585095 plot:0.004861207401587979 acted:0.0047851732881887986 rent:0.0047636605652976085 disc:0.004740797049694927 series:0.00466658213259301 screenplay:0.004664052717883128 released:0.004656027368897852 hilarious:0.004626441036525792 laughs:0.004589465343049287 rented:0.004588053381143249 directed:0.004556340613139883 played:0.00449140816947328 casting:0.0044840115713447705 entertainment:0.0044517406662060895 disney:0.0044024514396411914
Musical_Instrument pedal:0.012222215889126574 addario:0.009937201867451537 behringer:0.009937201867451537 tuners:0.00970739207901568 mic:0.00931951181512933 tuning:0.008667052065488151 truss:0.008259975690961275 drum:0.007400371340738709 rosin:0.007061979674505985 metronome:0.007061979674505985 fender:0.0069552828448823335 epiphone:0.006339527005307632 sound:0.006240823880457347 reeds:0.0061635025088279055 pickups:0.0061635025088279055 pickguard:0.005962169842437775 numark:0.005962169842437775 xlr:0.005962169842437775 instrument:0.005949852616710773 yamaha:0.00566976734084429 pedals:0.005654414140092195 dunlop:0.005266131148961123 frets:0.005266131148961123 string:0.0051339243071780675 intonation:0.004905682111288011 capo:0.004905682111288011 violin:0.004786561046935343 preamp:0.004452674859917044 gigs:0.004111392698598534 gig:0.004075577075671295 guitars:0.004070453124401649 snare:0.004067188110073916 swampy:0.003974729470866582 rocksmith:0.003974729470866582 lavalier:0.003974729470866582 ibanez:0.003974729470866582 mxr:0.003974729470866582 akai:0.003974729470866582 wuhan:0.003974729470866582 footswitch:0.003974729470866582 emg:0.003974729470866582 amplitube:0.003974729470866582 irig:0.003974729470866582 maschine:0.003974729470866582 tuner:0.003955676725427053 amp:0.0037379366397871814 microphone:0.0036002208998358173 midi:0.003547009878532872 trs:0.003547009878532872 wav:0.003547009878532872 mics:0.0034772443306776302 clarinet:0.003468309195928399 cymbal:0.0031194988517316636 technica:0.0031194988517316636 banjo:0.002834272176964332 distortion:0.0028020036574361437 bass:0.0027807684565226403 mixer:0.0026634992952021515 deoxit:0.0026329653639317143 epi:0.0026329653639317143 condenser:0.0026329653639317143 rehearsing:0.0026329653639317143 protools:0.0026329653639317143 ocarina:0.0026329653639317143 turntables:0.0026329653639317143 dulcimer:0.0026329653639317143 fretboard:0.0026329653639317143 cabs:0.0026329653639317143 piano:0.00257028443051165 acoustic:0.002558712665896403 cymbals:0.0021996957913961164 hercules:0.002188632444551733 seismic:0.002188632444551733 ukulele:0.002188632444551733 microphones:0.0020625874875546996
Office_Product cartridges:0.06391771264632763 cartridge:0.04484915712747424 printing:0.03575043163292127 printers:0.027437031339162084 epson:0.024150855561799293 scanner:0.021834620809228024 print:0.0212801841629188 pen:0.0142459172453543 toner:0.013572640770351085 paper:0.012843792900343322 pens:0.011748742560287462 prints:0.011702495176009235 hp:0.011205135857049206 fax:0.01086829315717683 scan:0.009985460255698762 scanning:0.009476867177770337 stapler:0.008545233750417247 inks:0.008545233750417247 shredder:0.007795883766920579 handset:0.007616476151920321 lexmark:0.007127189602550737 copier:0.006391735217636678 desk:0.006277900309672545 pencil:0.005977065450478953 remanufactured:0.005790036244586363 pencils:0.005752074612384584 staples:0.005751442319781552 labels:0.0057369829079586656 laser:0.005426605821428635 office:0.005343226019960938 inkjet:0.004864438004742519 receipts:0.004855172231628012 pixma:0.004751278894680056 scans:0.0046669271050813164 calculator:0.004395424737405341 stapling:0.004272129009795317 answering:0.004249190286693139 swingline:0.003959348848017588 mfc:0.003959348848017588 dymo:0.003959348848017588 landline:0.0038273043068633938 handsets:0.0038273043068633938 envelopes:0.003639812252954585 ooma:0.003525590295762934 canon:0.0034924112718661654 binders:0.003463393373627088 eraser:0.0032849992469015897 deskjet:0.0031674388947276967 staplers:0.0031674388947276967 borderless:0.0031674388947276967 printed:0.003073607399914873 avery:0.003020513384407693 papers:0.0029133106496902986 refill:0.002853535995778331 sharpeners:0.0027920461867193304 nib:0.002790338208804956 folders:0.0026334511154593137 wireless:0.0026127143919332336 scanned:0.0025515813961329696 uniden:0.002523028728073745 fellowes:0.0025137255263352636 pentel:0.002375549034045658 cis:0.002375549034045658 printhead:0.002375549034045658 dpi:0.002300304388044675 intercom:0.002300304388044675 speakerphone:0.002300304388044675 artisan:0.002300304388044675 binder:0.0022264318080381144 erase:0.0021541611435970925 sheets:0.0021272468350822804 mousepad:0.002111876311273339 erasers:0.00207798393707862 refills:0.002057716669395235 software:0.0020046628900845793
Patio_Lawn_and_Garde plants:0.01744593974992322 lawn:0.015252194883546602 seeds:0.01300575192210265 yard:0.012313418199259527 garden:0.01094890002121002 seed:0.010353982298083361 feeder:0.009988312258871854 plant:0.008974707856844524 gas:0.008608002708121872 grass:0.007894209930809642 smoker:0.007634785910367892 pool:0.0075968399453154286 watering:0.007050082278027874 traps:0.00688466760261358 mow:0.006649164184462788 soil:0.006572811660157835 blower:0.0065597457304833 germinated:0.005960556865928198 bbq:0.005699549687606011 hose:0.00549609734929768 hummingbirds:0.005231224845737275 weber:0.005215360098091503 sprinkler:0.0050873878823947515 sprinklers:0.00496706770614553 patio:0.0049556079415095065 weeds:0.00493791986277425 planted:0.004641631258013275 burners:0.004599501706695749 acre:0.004455251262982367 trap:0.004184692374635191 feeders:0.004144893727802729 squirrels:0.003974716428184743 bait:0.003974716428184743 bilt:0.00397360375382648 pruner:0.00397360375382648 landscaper:0.00397360375382648 grills:0.003899450817815118 sprouted:0.0038733508217338205 hammock:0.0037031109446992094 weed:0.003667252111708052 fertilizer:0.003511840071415906 roaches:0.003511840071415906 bugs:0.0034641358147709093 mice:0.003217716418692849 germination:0.003158657348487701 mulch:0.003158657348487701 grilling:0.0030749507241404762 geraniums:0.0029801650080116863 soils:0.0029801650080116863 suet:0.0029801650080116863 poulan:0.0029801650080116863 hydroponics:0.0029801650080116863 intex:0.0029801650080116863 husqvarna:0.0029801650080116863 sprout:0.0029436538377881037 bushes:0.002904865685511764 driveway:0.002721730024773052 coals:0.0027035228707009192 squirrel:0.0026698987346166127 sprayer:0.002634086811054345 trimmer:0.002595959206629748 leaf:0.0025784344742543646 birds:0.0025663904939627565 bird:0.002445841685911354 hummingbird:0.002420659979774131 sunflower:0.002420659979774131 ants:0.002320226656775292 planting:0.002294015667285458 mowers:0.0022274278011973517 mowed:0.0022274278011973517 tiller:0.0022274278011973517 potted:0.0022274278011973517 flowering:0.0022161631188362557 edger:0.0022161631188362557 compost:0.0019964458640117666
Pet_Supplie cat:0.05512451656273783 cats:0.05220345635690197 pet:0.022498876052295582 litter:0.021968767375091326 puppy:0.020849370279927015 vet:0.01986230701339742 collar:0.01800885277428808 leash:0.01791332115572764 treats:0.015990441639137484 chew:0.01331450451550256 lab:0.011964391069375581 fleas:0.011293069645448874 food:0.010047213209720341 chewed:0.00850943133729101 terrier:0.007847700838820342 barking:0.007395087831878466 tank:0.006430340680335897 chewer:0.006376894461889176 crate:0.006363864908229431 retriever:0.006073599098746896 kitten:0.006003710080323079 paw:0.005990132121567097 aquarium:0.0057155866159485065 bulldog:0.005621817491795852 poodle:0.005621817491795852 chihuahua:0.005621817491795852 petsmart:0.005579711864492095 spaniel:0.005579711864492095 collars:0.005463936390171352 toys:0.0053415185277326405 pup:0.005232434011257225 lb:0.005230522938475623 doggy:0.004896912567995385 catnip:0.004860132858407115 kibble:0.004782549494251997 petco:0.004782549494251997 chewing:0.0043849892493903345 fountain:0.0043849892493903345 puppies:0.004369201617935045 kitty:0.004240032823693084 bowl:0.004213411458709441 cage:0.004202957370267592 kennel:0.004184080682583189 flea:0.004157336217725086 leashes:0.004077660169009444 chews:0.004049911811666546 urine:0.004049911811666546 litterbox:0.003985407350399044 corgi:0.003985407350399044 coat:0.003948797137984739 harness:0.003920638810955724 pom:0.0038468014026063475 husky:0.003691718914904526 shepherd:0.0036456110677270943 gallon:0.0036173408811124557 poop:0.003551167158708535 clumping:0.0035490431760395306 loves:0.003541316186537553 feeder:0.003538840006142013 yorkie:0.0034866089644339984 kitties:0.0034866089644339984 kong:0.003350753412346552 frisbee:0.0033001041597806842 pomeranian:0.0033001041597806842 pound:0.003285648518625676 kittens:0.003279541570006371 shiba:0.003188285432163443 rottweiler:0.003188285432163443 orijen:0.003188285432163443 furminator:0.003188285432163443 petsafe:0.003188285432163443 bichon:0.003188285432163443 scooping:0.003088072575674412 treat:0.0030688518890970044 fur:0.00294531666587653
Sports_and_Outdoor gun:0.008220321790109262 pistol:0.007791040106395842 rifle:0.006976589272717215 bikes:0.006721711456376476 holster:0.006404044768522428 camping:0.0056807557077919145 airsoft:0.004804228309790001 tires:0.004413314643652355 ar:0.004348972627697951 fit:0.004321720996123436 tent:0.004163408152573681 glock:0.004120475293029919 bicycle:0.003897815120679035 workout:0.003754920912139527 sheath:0.003743688469786975 weight:0.0035066085181257737 bag:0.0034972051048483515 mag:0.0034788248726595567 grip:0.0033824891538736285 golf:0.0032025113269956106 mags:0.0031421851977486903 rides:0.0031391717781202922 blade:0.003068039308912623 scope:0.0030199867927718864 comfortable:0.0029977611735416 knives:0.0028641462619004078 barrel:0.0027630119694633613 scooter:0.002738393270155342 helmet:0.002683141859229156 ammo:0.002641863932882583 shimano:0.002639265662868081 handlebars:0.0026202826541914617 pants:0.002514867213817145 poles:0.002473793152418418 fits:0.0024462632358898404 edc:0.002395508823339064 characters:0.00236596536478372 backpacking:0.0023640067167543443 reading:0.0023575587941361527 adjustment:0.002348639974302881 schwinn:0.0023459841587311014 sturdy:0.002342307095043499 gloves:0.002336437192340763 ball:0.002326099984059572 balls:0.002325211756011695 riding:0.002264573422883878 pump:0.002226431071512939 carry:0.002215273918009082 ride:0.0021426347280411157 durable:0.0021421184422030473 mat:0.0021397561647614255 size:0.0020865660284685103 gear:0.0020598360984139994 camelbak:0.0020527100962095114 rail:0.0020524703632092776 goggles:0.0020501923436335827 sweat:0.0020194833169911133 weights:0.001987041774283839 rack:0.001963987763790335 bearings:0.0019616326618087645 saddle:0.0018665348193055245 molle:0.0018364551612288376 ruger:0.0018364551612288376 rear:0.001836218814685615 grips:0.0018141099385848647 series:0.0018089862152829551 zeroed:0.0017740105271049815 sks:0.0017594434750200843 firearm:0.0017390593143958174 water:0.0017382515660674704 tight:0.0017280257970228433 written:0.0017189755835754397 straps:0.00171546950983732 lbs:0.0016853507088184963 dumbbells:0.0016513208931124557
Tools_and_Home_Improvement flashlight:0.019517537593967498 bulb:0.01608457952262104 tool:0.015090663611266002 light:0.012916426771729111 flashlights:0.012811675426040376 dewalt:0.012690462558182907 faucet:0.011415453101659616 drill:0.010919070788138276 tools:0.010565367003645555 bright:0.010357571800305507 lights:0.009806987875061629 fixture:0.008322597301153388 batteries:0.006940467866569772 thermostat:0.006869396326439315 nailer:0.006596191197964979 dimmer:0.00597607494718325 lumen:0.005588266004054642 miter:0.005065893771864259 cfl:0.005065893771864259 dremel:0.004665595768338048 beam:0.004541419259521425 lamps:0.00453112516200688 blades:0.004290411508035981 led:0.004205078064894702 makita:0.004179499124757547 sander:0.004080568596776962 leatherman:0.004052612184108997 blade:0.003944846627583285 brighter:0.003908041833687002 switch:0.003800892796372143 pliers:0.0037284141555946376 installed:0.0036644609758833967 dimmable:0.00357984804229872 incandescent:0.0035081957106365943 strobe:0.0034182523852593575 wall:0.0033714111128159887 halogen:0.003362709101025821 sink:0.0033115475983740788 bosch:0.003279532727800661 lumens:0.003201699765101991 shower:0.003171008664690569 monoxide:0.003080618715886332 fixtures:0.0030719776681544897 volt:0.0030684834208215485 ridgid:0.003039382016958774 sockets:0.0030027849648183082 ceiling:0.002993757026734941 fluorescent:0.002892363027987214 screws:0.00274316449234942 dusk:0.002718732859749196 maglite:0.002634634947933427 garage:0.002630583060086039 depot:0.00256188857831242 watt:0.002533959649530788 nailers:0.0025327862148874013 streamlight:0.0025327862148874013 showerhead:0.0025327862148874013 wrench:0.0024844063142828725 chandelier:0.002429287276839347 installation:0.002410460640254651 heater:0.0023796475290406133 screw:0.0023773585853229823 bathroom:0.002311173552549296 contractor:0.0022985136651711086 cordless:0.0022908257607104983 lithium:0.002252935290723651 bits:0.002242348043201246 milwaukee:0.0022297687740982118 remodel:0.002192525531187354 hose:0.0021569155925753726 door:0.0021027947588674522 screwdriver:0.0020934151168343603 lathe:0.0020895904908213056 replace:0.0020483709696361564 kidde:0.0020262032664995575
Toys_and_Game toys:0.017911688852126132 loves:0.015878592284697745 lego:0.015471261066765538 son:0.01500756689393166 grandson:0.012098020931168168 dolls:0.01189354164640033 play:0.010754674036577549 birthday:0.010478696339057111 kids:0.010146901870430654 christmas:0.009268066593276633 year:0.008458588176066522 daughter:0.008403888954646482 legos:0.007336506671144706 puzzle:0.007148804244722003 pieces:0.006587070927550896 playing:0.005699241938609028 rc:0.005392953069404999 cards:0.005172286930761861 granddaughter:0.0046723756366153744 cute:0.0045163466793260495 barbie:0.00402992340763122 hasbro:0.0038809456798023848 gift:0.003673571653570207 nephew:0.0033563680197929795 child:0.0032297168288441735 nerf:0.0031747135492916473 played:0.0029874247954363993 durable:0.0029759901958258763 articulation:0.0028877237819932918 figures:0.0028491090169177656 helicopters:0.0027915204345330584 cuddly:0.0027593961949297897 dice:0.0027587979604326435 leapfrog:0.0027193685738327875 mattel:0.0025871986474508197 niece:0.002473992819268444 educational:0.002473142536422207 paint:0.0024631012753820376 stuffed:0.002443769502907415 plush:0.0023289353674170597 cube:0.002319646618026651 playset:0.0021959314761271077 copter:0.0021559715208144727 lipo:0.0021559715208144727 heli:0.0021559715208144727 games:0.0021522750254980585 grand:0.002089536947171253 doug:0.002086322672335721 grandsons:0.002086322672335721 puzzles:0.002071117655904709 melissa:0.002006201969194797 plays:0.0019836639750324954 yr:0.001950529254721959 bought:0.0018990717701019729 board:0.0018429595862677454 transformers:0.0018281771214708996 plastic:0.0018162191434580532 dollhouse:0.001775583517362403 posable:0.0017247553355578052 kid:0.001695685361584801 granddaughters:0.001655793496874648 decks:0.001652080370491449 train:0.001642435543549307 figure:0.0015979289588217743 cars:0.0015643361423246544 adorable:0.0015270423510712657 darts:0.0015178672335891394 collectible:0.0015178672335891394 wheels:0.0015044554169143507 sculpt:0.0015039839906682343 reading:0.001477852427499341 wooden:0.0014186101743719507 doh:0.0013595980388011676 huggable:0.0013595980388011676 toddler:0.0013375654032839594
